"GO" "genes"
"RNA splicing, via transesterification reactions" "RBM5/KDM1A/PTBP1/MTREX/POLR2B/THRAP3/SNRNP40/ELAVL1/PABPC1/CLNS1A/SNRPA/DDX1/RBM22/KHSRP/PAPOLA/CDC5L/SF3A1/DDX17/PRMT5/PRPF6/CSTF2/POLR2C/HNRNPL/SF3A2/HNRNPUL1/BUD31/C1QBP/DDX5/EFTUD2/DHX15/PRPF19/NUP98/IK/SF3B6/SF3B1/TIA1/SRSF4/SFPQ/BCAS2/SRSF11/PRDX6/RBM25/SMNDC1/HNRNPA2B1/SMU1/SNRPD2/RBM42/DNAJC8/HNRNPH2/SNRPA1/DHX9/TRA2B/NCBP1/HNRNPD/EIF4A3/SF3B4/SNRNP200/WTAP/CPSF7/SRSF2/MAGOH/U2SURP/CPSF2/NUDT21/SNRPD1/SRRM2/CD2BP2/SF3B5/LSM3/PLRG1/CSTF3/PUF60/POLR2A/SNRPE/SF3A3/ALYREF/SF3B3/PRPF40A/LSM2/RBM8A"
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" "RBM5/KDM1A/PTBP1/MTREX/POLR2B/THRAP3/SNRNP40/ELAVL1/PABPC1/CLNS1A/SNRPA/DDX1/RBM22/PAPOLA/CDC5L/SF3A1/DDX17/PRMT5/PRPF6/CSTF2/POLR2C/HNRNPL/SF3A2/HNRNPUL1/BUD31/C1QBP/DDX5/EFTUD2/DHX15/PRPF19/NUP98/IK/SF3B6/SF3B1/TIA1/SRSF4/SFPQ/BCAS2/SRSF11/PRDX6/RBM25/SMNDC1/HNRNPA2B1/SMU1/SNRPD2/RBM42/DNAJC8/HNRNPH2/SNRPA1/DHX9/TRA2B/NCBP1/HNRNPD/EIF4A3/SF3B4/SNRNP200/WTAP/CPSF7/SRSF2/MAGOH/U2SURP/CPSF2/NUDT21/SNRPD1/SRRM2/CD2BP2/SF3B5/LSM3/PLRG1/CSTF3/PUF60/POLR2A/SNRPE/SF3A3/ALYREF/SF3B3/PRPF40A/LSM2/RBM8A"
"mRNA splicing, via spliceosome" "RBM5/KDM1A/PTBP1/MTREX/POLR2B/THRAP3/SNRNP40/ELAVL1/PABPC1/CLNS1A/SNRPA/DDX1/RBM22/PAPOLA/CDC5L/SF3A1/DDX17/PRMT5/PRPF6/CSTF2/POLR2C/HNRNPL/SF3A2/HNRNPUL1/BUD31/C1QBP/DDX5/EFTUD2/DHX15/PRPF19/NUP98/IK/SF3B6/SF3B1/TIA1/SRSF4/SFPQ/BCAS2/SRSF11/PRDX6/RBM25/SMNDC1/HNRNPA2B1/SMU1/SNRPD2/RBM42/DNAJC8/HNRNPH2/SNRPA1/DHX9/TRA2B/NCBP1/HNRNPD/EIF4A3/SF3B4/SNRNP200/WTAP/CPSF7/SRSF2/MAGOH/U2SURP/CPSF2/NUDT21/SNRPD1/SRRM2/CD2BP2/SF3B5/LSM3/PLRG1/CSTF3/PUF60/POLR2A/SNRPE/SF3A3/ALYREF/SF3B3/PRPF40A/LSM2/RBM8A"
"protein folding" "NUDCD3/ERP44/HSPA5/GNAI3/DNAJA2/DNAJC10/HSP90AA1/DNAJA1/ERP29/NUDC/ST13/PDCD5/CDC37/DNAJB6/PPIF/GRPEL1/HSPA9/PFDN1/GNAI2/CCT4/P3H1/RAD23B/TCP1/CLU/FKBP9/PRDX4/EMC3/CANX/EMC1/EMC4/DNAJB1/UGGT1/TOR1A/PFDN2/PDIA6/HSPD1/CCT5/BAG3/HSPA13/PDIA4/CCT3/VCP/HSP90B1/PPIB/PDIA3/DNAJC7/DNAJC21/PPIC/CRTAP/GNB2/CALR/RUVBL2/P4HB/PPIA"
"ribosome biogenesis" "UTP18/MTREX/MRTO4/NOP58/RIOK2/RRP15/EXOSC7/DIS3/NOP14/XRN2/DDX17/RPL3/NOP56/RPS19/NOP53/GTPBP4/NUP88/C1QBP/UTP6/KRR1/EBNA1BP2/ERI3/FCF1/RCL1/EXOSC8/MRPS2/RPL5/RRP36/EMG1/NOL11/UTP3/GNL2/LTV1/PWP1/IMP4/TEX10/EIF4A3/RPS8/NAF1/RRP1/WDR43/ABCE1/DCAF13/NOLC1/TSR1/PA2G4/EXOSC1/EXOSC10/IMP3/UTP11/NOC2L/RPL12/RPL10A/DDX47/WDR46/BOP1/AATF"
"RNA catabolic process" "RPS20/RNH1/MTREX/MRTO4/THRAP3/YBX3/ELAVL1/PABPC1/EXOSC7/TNPO1/DIS3/KHSRP/XRN2/RPL3/ZC3H14/GSPT1/EIF3E/RPS19/PPP2R1A/DDX5/ZPR1/RPS13/MAPK14/RPS12/HBS1L/PPP2CA/RPL22/EXOSC8/TARDBP/RPL21/RPL5/RPS15A/DHX9/NCBP1/LRPPRC/HNRNPD/EIF4A3/AKT1/RPS11/RPL13A/RPS8/NAF1/RPL37/UBC/NOCT/PELO/CARHSP1/MAGOH/RPL27A/FEN1/UBB/LSM3/EXOSC1/EXOSC10/PAIP1/RPL4/DHX36/RPLP2/SND1/RPL12/RPS4X/YTHDF2/RPL10A/LSM2/RBM8A"
"rRNA metabolic process" "UTP18/MTREX/MRTO4/NOP58/RIOK2/RRP15/EXOSC7/DIS3/NOP14/XRN2/SMARCB1/DDX17/NOP56/RPS19/NOP53/GTPBP4/UTP6/KRR1/H2AFY/NCL/EBNA1BP2/ERI3/FCF1/RCL1/EXOSC8/RPL5/RRP36/POLR1B/EMG1/NOL11/UTP3/PWP1/IMP4/TEX10/EIF4A3/RPS8/NAF1/PELO/RRP1/WDR43/DCAF13/NOLC1/TSR1/PA2G4/EXOSC1/EXOSC10/IMP3/UTP11/RPL10A/DDX47/WDR46/BOP1"
"regulation of mRNA metabolic process" "RBM5/PTBP1/THRAP3/YBX3/ELAVL1/PABPC1/EXOSC7/SNRPA/TNPO1/DIS3/KHSRP/PAPOLA/DDX17/ZC3H14/HNRNPL/C1QBP/DDX5/PRPF19/NUP98/MAPK14/TIA1/SRSF4/PRDX6/RBM25/EXOSC8/TARDBP/HNRNPA2B1/SMU1/RBM42/CCNB1/CDC73/DHX9/TRA2B/CDK9/NCBP1/HNRNPD/AKT1/SF3B4/WTAP/CPSF7/UBC/NOCT/CARHSP1/SRSF2/MAGOH/IWS1/NUDT21/UBB/EXOSC1/PAIP1/DHX36/YTHDF2/RBM8A"
"ribonucleoprotein complex subunit organization" "RBM5/MRTO4/CLNS1A/DDX1/HSP90AA1/EIF3I/RBM22/SF3A1/EIF3L/RPL3/EIF3D/PRMT5/EIF5/PRPF6/EIF3J/EIF3E/SF3A2/RPS19/NOP53/EIF3B/EIF4H/EIF3A/C1QBP/PRPF19/SF3B1/MRPS2/RPL5/SNRPD2/EIF2S3/EIF3G/CDC73/DHX9/NCBP1/DENR/RPL13A/SNRNP200/NAF1/G3BP1/EIF3M/CPSF7/NOCT/PELO/VCP/NUDT21/SNRPD1/CD2BP2/KIF5B/LSM3/SNRPE/RUVBL2/SF3A3/DYNC1H1/RPL12/LSM14A/BOP1"
"rRNA processing" "UTP18/MTREX/MRTO4/NOP58/RIOK2/RRP15/EXOSC7/DIS3/NOP14/XRN2/DDX17/NOP56/RPS19/NOP53/GTPBP4/UTP6/KRR1/EBNA1BP2/ERI3/FCF1/RCL1/EXOSC8/RPL5/RRP36/EMG1/NOL11/UTP3/IMP4/TEX10/EIF4A3/RPS8/NAF1/RRP1/WDR43/DCAF13/NOLC1/TSR1/PA2G4/EXOSC1/EXOSC10/IMP3/UTP11/RPL10A/DDX47/WDR46/BOP1"
